"","year","neighborhood","count"
"1",1902,"hyde_park",41
"2",1903,"hyde_park",235
"3",1904,"hyde_park",95
"4",1905,"hyde_park",197
"5",1906,"hyde_park",130
"6",1907,"hyde_park",83
"7",1908,"hyde_park",63
"8",1909,"hyde_park",137
"9",1910,"hyde_park",180
"10",1911,"hyde_park",105
"11",1912,"hyde_park",132
"12",1913,"hyde_park",154
"13",1914,"hyde_park",259
"14",1915,"hyde_park",300
"15",1916,"hyde_park",289
"16",1917,"hyde_park",327
"17",1918,"hyde_park",194
"18",1919,"hyde_park",222
"19",1920,"hyde_park",109
"20",1921,"hyde_park",113
"21",1922,"hyde_park",245
"22",1923,"hyde_park",300
"23",1924,"hyde_park",312
"24",1925,"hyde_park",454
"25",1926,"hyde_park",617
"26",1927,"hyde_park",871
"27",1928,"hyde_park",590
"28",1929,"hyde_park",390
"29",1930,"hyde_park",234
"30",1931,"hyde_park",386
"31",1932,"hyde_park",371
"32",1933,"hyde_park",423
"33",1934,"hyde_park",259
"34",1935,"hyde_park",343
"35",1936,"hyde_park",304
"36",1937,"hyde_park",243
"37",1938,"hyde_park",248
"38",1939,"hyde_park",231
"39",1940,"hyde_park",231
"40",1941,"hyde_park",179
"41",1942,"hyde_park",124
"42",1943,"hyde_park",48
"43",1944,"hyde_park",95
"44",1945,"hyde_park",89
"45",1946,"hyde_park",148
"46",1947,"hyde_park",159
"47",1948,"hyde_park",277
"48",1949,"hyde_park",225
"49",1950,"hyde_park",253
"50",1951,"hyde_park",331
"51",1952,"hyde_park",151
"52",1953,"hyde_park",280
"53",1954,"hyde_park",317
"54",1955,"hyde_park",430
"55",1956,"hyde_park",477
"56",1957,"hyde_park",416
"57",1958,"hyde_park",433
"58",1959,"hyde_park",580
"59",1960,"hyde_park",351
"60",1961,"hyde_park",304
"61",1962,"hyde_park",464
"62",1963,"hyde_park",522
"63",1964,"hyde_park",477
"64",1965,"hyde_park",525
"65",1966,"hyde_park",490
"66",1967,"hyde_park",352
"67",1968,"hyde_park",484
"68",1969,"hyde_park",565
"69",1970,"hyde_park",602
"70",1971,"hyde_park",535
"71",1973,"hyde_park",730
"72",1974,"hyde_park",258
"73",1975,"hyde_park",667
"74",1976,"hyde_park",520
"75",1977,"hyde_park",469
"76",1978,"hyde_park",428
"77",1979,"hyde_park",390
"78",1980,"hyde_park",396
"79",1981,"hyde_park",498
"80",1982,"hyde_park",836
"81",1983,"hyde_park",582
"82",1984,"hyde_park",478
"83",1985,"hyde_park",451
"84",1986,"hyde_park",662
